曲名,调性,乐谱
水星记,F,"[[6,0,5,0,3,0,6,0,0,0,5,0,3,0,6,0],[0,0,0,0,0,0,0,0,6,0,5,0,1,0,3,0],[0,0,2,0,5,0,3,0,0,0,2,0,5,0,3,0],[0,0,0,0,0,0,0,0,1,0,2,0,3,0,5,0]]"
最美的期待,C,"[[0,0,0,1,1,7,1,2,0,0,0,2,2,1,7,1],[0,6,0,1,1,7,1,2,0,1,0,3,0,2,0,1],[0,0,0,1,1,7,1,2,0,0,0,2,2,1,7,1],[0,6,0,1,1,7,1,2,0,1,0,3,0,2,0,1]]"
最美的期待,C,"[[0,0,0,1,1,2,3,5,0,2,0,2,2,1,7,1],[0,6,0,2,2,1,7,1,0,5,0,1,1,2,3,5],[0,0,0,1,1,7,6,6,0,5,0,4,4,3,2,3],[0,0,0,1,4,3,2,4,0,1,0,1,0,2,0,1]]"
稻香,A,"[[1,0,6,1,0,1,1,1,2,2,2,2,3,0,1,0],[1,0,6,1,0,0,1,1,2,2,2,2,3,0,1,0],[1,0,6,1,0,0,1,1,2,2,2,2,0,0,1,0],[3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]"
稻香,A,"[[5,0,5,5,0,5,5,5,0,5,5,5,3,0,2,0],[1,0,2,3,0,3,3,3,0,3,3,3,3,0,1,0],[6,0,7,1,0,0,1,1,2,0,2,2,0,0,1,0],[3,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0]]"
爱你,F,"[[3,0,3,0,5,0,5,5,0,0,4,0,0,0,1,0],[2,0,2,0,4,0,4,4,0,0,3,0,0,0,0,0],[1,0,1,0,3,0,3,3,0,0,2,0,6,0,7,0],[1,0,0,0,3,0,3,3,0,0,2,0,0,0,5,0]]"
燕园情,F,"[[3,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0],[3,0,0,0,0,0,2,3,1,0,0,0,0,0,3,5],[6,0,0,0,0,0,5,6,1,0,0,0,0,0,0,0],[2,1,2,4,5,4,5,6,5,0,0,0,0,0,0,0]]"
test,C,"[[1,1.5,2,2.5,3,4,4,4,5,5.5,6,6.5,7,0,0,0],[1,1.5,2,2.5,3,4,4,4,5,5.5,6,6.5,7,0,0,0],[1,1.5,2,2.5,3,4,4,4,5,5.5,6,6.5,7,0,0,0],[1,1.5,2,2.5,3,4,4,4,5,5.5,6,6.5,7,0,0,0]]"
500 miles,C,"[[5,0,1,0,3,0,0,3,2,0,1,0,3,0,0,0],[2,0,1,0,2,0,0,3,2,0,1,0,6,0,0,0],[6,0,1,0,2,0,0,3,2,0,1,0,6,0,0,0],[5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0]]"
alone,C,"[[5,0,3,0,0,0,2,0,0,3,1,0,0,0,0,0],[0,0,6,0,0,0,5,0,0,6,3,0,0,0,0,0],[0,0,3,0,0,0,2,0,0,5,1,0,0,0,0,0],[0,0,6,0,0,0,7,0,0,5,6,0,0,0,0,0]]"
